"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2";"PinSocket_2x25_P2.54mm_Vertical";1;"Discovery Board Conn 2";;;
2;"H3,H4,H1,H2";"MountingHole_3.2mm_M3_Pad";4;"MountingHole";;;
3;"R2,R1,R3";"R_0201_0603Metric";3;"330";;;
4;"J1";"PinSocket_2x25_P2.54mm_Vertical";1;"Discovery Board Conn 1";;;
5;"RGB_LED";"LED_D5.0mm-4_RGB_Wide_Pins";1;"LED_ABGR";;;
6;"RC522";"PinSocket_1x08_P2.54mm_Vertical";1;"RFID-RC522-MODULE";;;
